ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ
183,12182674487,2635
197,16167328168,1802
267,279925978,2329
322,20579036860,2397
343,306428723,2380
380,707714471,1904
394,582504932,3094
395,619875811,2397
422,200819453,2040
458,20616228848,1972
491,20041241384,1870
496,974840350,2363
574,635097441,1938
595,12886037774,1819
601,481175752,3145
631,667321230,6834
709,17230384612,3366
730,273528385,2210
756,813486448,3009
773,585063738,1717
778,15370302582,2261
790,17949664574,1751
815,25372939671,3383
816,25403273689,2363
838,25460682383,2686
884,26345171796,3060
886,25290527275,1802
892,23424804254,1751
974,855749808,2040
985,847984089,3247
46,0,3247
107,17765603364,22202
191,15192389269,2074
231,200049846,2992
249,22789992923,2754
277,22780431647,2074
300,12394381437,2907
365,19640506181,2533
367,279245094,1904
368,91152334,2771
373,20614014241,3077
386,833302022,3179
418,307044871,1717
445,492346180,2550
471,657700709,2584
473,688616195,2091
476,772818657,1802
483,16635917392,2533
485,961340293,1836
573,20594482176,3247
629,667321230,3944
644,931375617,3570
645,931375617,5100
669,15722629707,2550
698,17133483779,1921
719,20797975457,2074
720,18716065119,1751
725,16645856680,2550
754,17089666177,2720
757,47037640,1751
779,15463141809,1802
782,17403304005,3111
818,25354859253,2703
819,821755027,2890
842,23442278061,2006
863,28174401920,3145
902,25368502076,2788
1010,707561590,1819
6,20264587520,2414
79,844859421,2924
111,17765603364,55743
131,17765603364,468078
167,18006968072,1955
184,14743110447,2533
192,16907404281,1700
232,89307936,2159
286,204583967,1819
320,12390536292,1734
362,15616957724,2465
381,747785188,3383
383,763529041,3009
387,876672541,1955
447,628126183,3366
472,604921506,1853
520,18874141183,3026
704,740537068,2380
713,14187333391,1802
715,15561563938,2839
721,13067119683,2261
738,16630631004,3111
767,17139308285,2040
772,15987297930,3196
780,13479622966,2652
788,300274179,2516
796,17585716181,2499
830,341459569,17782
831,341459569,15334
843,23716867365,1751
858,897695557,3230
870,25368311625,3077
912,22804298423,2499
928,693304064,3230
938,799568208,2346
952,841275243,1819
955,405111819,2601
4,17939154800,2057
47,16715703645,2380
49,104128145,1768
56,870534470,2873
59,332336417,3213
71,17489766158,2074
95,904273197,1819
101,667321230,2567
128,17765603364,376397
132,960315499,3230
146,20626417254,2975
190,13730135680,3094
215,26554759509,2244
255,25082840893,1887
256,23584436294,2975
269,10766709161,1751
271,10875375762,2431
324,18564646170,2210
352,24991621511,2448
428,501853124,2737
444,640732652,2584
487,944897060,2771
575,650475709,1802
599,650479466,3009
605,998002255,2380
634,667321230,12699
640,667321230,23715
664,801553638,2074
716,13310973259,3383
723,15298342738,2091
735,15194234534,2431
750,21404641078,1904
771,13855896053,2312
856,10820912845,2414
867,885798294,3179
882,341459569,13957
894,20354741070,1768
897,27577793499,1870
917,15466899676,3128
949,18273362781,2176
1004,280704833,2244
90,20237915132,1836
121,17765603364,215781
159,17765603364,2924
196,17855656342,3247
200,768287715,2601
219,13458961200,2533
233,20263700579,3145
264,18575780762,2465
274,497221032,3298
332,18634960737,3060
467,343320729,1870
479,275247935,2805
482,538739639,2550
486,962125506,1870
528,13604479347,3281
552,15385437512,2363
571,20720916786,2550
632,667321230,9945
667,17082548685,2533
688,18147829273,2278
697,864816894,2975
733,982788139,2839
770,13018198919,1819
890,21981339133,1989
923,11122690113,3298
929,371758329,1853
1013,922063170,2346
10,22724869663,2040
42,16766964731,2890
108,17765603364,28203
112,17765603364,85850
123,17765603364,236436
149,26125856632,3095190
163,26125856632,3585283
194,13132677021,2618
234,30686020,3230
253,23413063340,2805
279,24649123854,1717
305,232369294,2771
309,20587849048,2040
311,20539110643,2261
363,19301773038,2941
369,15587223381,2057
372,15583780524,2873
526,14880412902,2023
639,667321230,20468
642,667321230,27846
665,26790897363,3332
693,18947030162,1717
707,19461689743,2499
711,16761097742,2482
714,442209304,2992
747,21083167882,1700
752,25086338371,1700
776,12586831161,3128
814,25403218779,1887
839,25443057140,1785
874,845318353,2040
883,27516617979,2023
899,25368497452,2907
965,334026489,3383
12,479285114,1836
48,22587415194,2244
50,295811730,2720
61,110768209,1853
64,26125856632,2414
74,921958263,2550
98,24078152912,3060
120,17765603364,170918
127,17765603364,330378
199,17484082973,2142
210,73246472,1989
244,21393802422,2210
284,23493468342,3077
317,20521669493,3077
339,20646566334,2686
340,12408155466,1700
341,12118122869,2720
348,463844422,1768
349,19190237823,1853
378,707217680,2839
382,730635639,2414
430,20605092811,1734
438,450815146,2550
452,502679375,2210
465,645158687,2703
469,24228636946,1717
470,24321219830,2363
478,12077600445,2839
493,264709550,2482
628,872108653,2040
729,21119368022,2346
760,17783205776,2635
777,12479678342,2210
795,93607678,2873
841,22846063258,3077
860,25757451570,3213
889,22537627430,3009
973,779722289,3179
11,22097389973,3247
37,17130360845,1921
57,637700753,3060
63,21420212109,2448
85,11922760025,2992
86,20299839162,2890
106,17765603364,14433
117,17765603364,159630
122,17765603364,227817
187,13638820061,1802
205,12770750183,2142
217,17562627104,2805
246,594641776,2839
282,23515317320,2210
288,401609139,3196
303,124238210,2567
323,20665382257,1989
333,20632301583,3332
361,17302302840,2040
437,578258655,3230
451,475192296,2380
