ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL,DAT_INC_DBO
137,2427884087,2805,NMN,NMN,2019-12-19 13:43:41.914
183,12182674487,2635,NMN,NMN,2019-12-19 13:43:41.914
197,16167328168,1802,NMN,NMN,2019-12-19 13:43:41.914
267,279925978,2329,NMN,NMN,2019-12-19 13:43:41.914
322,20579036860,2397,NMN,NMN,2019-12-19 13:43:41.914
336,6574465046,2465,NMN,NMN,2019-12-19 13:43:41.914
343,306428723,2380,NMN,NMN,2019-12-19 13:43:41.914
356,7422524275,2550,NMN,NMN,2019-12-19 13:43:41.914
380,707714471,1904,NMN,NMN,2019-12-19 13:43:41.914
394,582504932,3094,NMN,NMN,2019-12-19 13:43:41.914
395,619875811,2397,NMN,NMN,2019-12-19 13:43:41.914
422,200819453,2040,NMN,NMN,2019-12-19 13:43:41.914
458,20616228848,1972,NMN,NMN,2019-12-19 13:43:41.914
481,9804044092,2958,NMN,NMN,2019-12-19 13:43:41.914
491,20041241384,1870,NMN,NMN,2019-12-19 13:43:41.914
496,974840350,2363,NMN,NMN,2019-12-19 13:43:41.914
505,1178913365,2703,NMN,NMN,2019-12-19 13:43:41.914
514,1490688877,1853,NMN,NMN,2019-12-19 13:43:41.914
517,1582863982,2941,NMN,NMN,2019-12-19 13:43:41.914
536,2264736362,2108,NMN,NMN,2019-12-19 13:43:41.914
538,2296456424,3281,NMN,NMN,2019-12-19 13:43:41.914
562,5634131874,3060,NMN,NMN,2019-12-19 13:43:41.914
566,3123522693,1734,NMN,NMN,2019-12-19 13:43:41.914
574,635097441,1938,NMN,NMN,2019-12-19 13:43:41.914
595,12886037774,1819,NMN,NMN,2019-12-19 13:43:41.914
601,481175752,3145,NMN,NMN,2019-12-19 13:43:41.914
610,8128994601,1700,NMN,NMN,2019-12-19 13:43:41.914
619,1578868268,2193,PPPPJRMTVVM PJNTRML JJ PRJJVTP - PJPRJJ,PPPPJRMTVVM PJNTRML JJ PRJJVTP - MVLPS,2019-12-19 13:43:41.914
631,667321230,6834,NMN,NMN,2019-12-19 13:43:41.914
653,1151773375,5236,NMN,NMN,2019-12-19 13:43:41.914
683,1728130988,3145,NMN,NMN,2019-12-19 13:43:41.914
709,17230384612,3366,NMN,NMN,2019-12-19 13:43:41.914
722,1756472640,3111,NMN,NMN,2019-12-19 13:43:41.914
730,273528385,2210,NMN,NMN,2019-12-19 13:43:41.914
756,813486448,3009,NMN,NMN,2019-12-19 13:43:41.914
773,585063738,1717,NMN,NMN,2019-12-19 13:43:41.914
778,15370302582,2261,NMN,NMN,2019-12-19 13:43:41.914
790,17949664574,1751,NMN,NMN,2019-12-19 13:43:41.914
815,25372939671,3383,NMN,NMN,2019-12-19 13:43:41.914
816,25403273689,2363,NMN,NMN,2019-12-19 13:43:41.914
838,25460682383,2686,NMN,NMN,2019-12-19 13:43:41.914
855,7674462915,2261,NMN,NMN,2019-12-19 13:43:41.914
866,2043373055,2958,NMN,NMN,2019-12-19 13:43:41.914
872,1096246938,3026,NMN,NMN,2019-12-19 13:43:41.914
884,26345171796,3060,NMN,NMN,2019-12-19 13:43:41.914
886,25290527275,1802,NMN,NMN,2019-12-19 13:43:41.914
892,23424804254,1751,NMN,NMN,2019-12-19 13:43:41.914
907,9532134685,1989,NMN,NMN,2019-12-19 13:43:41.914
921,9217852387,1972,MMNPP VNJZSTRVML S.M.,MMNPP VNJZSTRVML S.M.,2019-12-19 13:43:41.914
946,2398073159,3213,NMN,NMN,2019-12-19 13:43:41.914
948,2184106518,2601,NMN,NMN,2019-12-19 13:43:41.914
957,2169709983,2601,NMN,NMN,2019-12-19 13:43:41.914
967,1506016281,2754,NMN,NMN,2019-12-19 13:43:41.914
974,855749808,2040,NMN,NMN,2019-12-19 13:43:41.914
980,2160383664,1700,NMN,NMN,2019-12-19 13:43:41.914
983,1146097993,2329,NMN,NMN,2019-12-19 13:43:41.914
985,847984089,3247,NMN,NMN,2019-12-19 13:43:41.914
27,4368051774,4080,MMNPP MMM S/M,MMNPP MMM S/M,2019-12-19 13:43:41.914
46,0,3247,MMNPP JP MRMSVL,MMNPP JP MRMSVL,2019-12-19 13:43:41.914
107,17765603364,22202,NMN,NMN,2019-12-19 13:43:41.914
138,2227510850,1870,NMN,NMN,2019-12-19 13:43:41.914
141,1761561063,1904,NMN,NMN,2019-12-19 13:43:41.914
153,2227510850,105944,NMN,NMN,2019-12-19 13:43:41.914
191,15192389269,2074,NMN,NMN,2019-12-19 13:43:41.914
231,200049846,2992,NMN,NMN,2019-12-19 13:43:41.914
249,22789992923,2754,NMN,NMN,2019-12-19 13:43:41.914
277,22780431647,2074,NMN,NMN,2019-12-19 13:43:41.914
292,7327288371,2720,NMN,NMN,2019-12-19 13:43:41.914
299,6262684043,1700,NMN,NMN,2019-12-19 13:43:41.914
300,12394381437,2907,NMN,NMN,2019-12-19 13:43:41.914
