ID_STG_PGT,VLR_PGT_FAT,DAT_VCT,COD_MDL,QTD_CLI_CAD_POS,QTD_PGT,ID_FNT_ITT,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO
451,515711,16082022,A04,22,22,67,F,2020-01-16,2020-01-17 17:50:42.746
452,60763,26102020,A99,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
453,8588195,24022019,G01,22,22,67,F,2020-01-16,2020-01-17 17:50:42.746
454,369084,24062018,B99,16,23,67,F,2020-01-16,2020-01-17 17:50:42.746
455,13054,20022021,B99,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
456,1206954,4012018,A04,3,5,67,F,2020-01-16,2020-01-17 17:50:42.746
457,21684,24122018,B07,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
458,341157,27032016,B99,10,11,67,F,2020-01-16,2020-01-17 17:50:42.746
459,3929,21032018,B05,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
460,12700,28112018,A05,3,3,67,F,2020-01-16,2020-01-17 17:50:42.746
461,85390,13032019,B07,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
462,2024518,19122018,B07,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
463,42250,16062016,B03,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
464,30024,16032018,B03,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
465,153894,9032021,B99,3,3,67,F,2020-01-16,2020-01-17 17:50:42.746
466,23651,20042021,A99,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
467,12909,19062018,A99,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
468,116214,5012024,B05,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
469,18595,9052018,B05,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
470,9284,8072020,G01,1,2,67,F,2020-01-16,2020-01-17 17:50:42.746
471,61643,21072019,A01,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
472,7546,2112026,A01,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
473,47136,27112018,A01,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
474,934927234,3102019,A04,35932,43662,67,F,2020-01-16,2020-01-17 17:50:42.746
475,79063451,1072023,A01,1476,4538,67,F,2020-01-16,2020-01-17 17:50:42.746
476,96914588,2022019,A01,1697,1748,67,F,2020-01-16,2020-01-17 17:50:42.746
477,292941169,5042023,A01,4139,11621,67,F,2020-01-16,2020-01-17 17:50:42.746
478,15560958,15052025,A01,409,792,67,F,2020-01-16,2020-01-17 17:50:42.746
479,90739194,2062019,A04,4428,4780,67,F,2020-01-16,2020-01-17 17:50:42.746
480,107396454,14122018,A04,2558,2638,67,F,2020-01-16,2020-01-17 17:50:42.746
481,69580501,25122018,A04,2644,2818,67,F,2020-01-16,2020-01-17 17:50:42.746
482,4997200,17042019,A99,696,728,67,F,2020-01-16,2020-01-17 17:50:42.746
483,196551776,1012020,B05,1901,1910,67,F,2020-01-16,2020-01-17 17:50:42.746
484,382570748,8112019,B05,3702,3712,67,F,2020-01-16,2020-01-17 17:50:42.746
485,292163157,10052019,B99,14041,14660,67,F,2020-01-16,2020-01-17 17:50:42.746
486,47474124,26122019,B99,2331,2371,67,F,2020-01-16,2020-01-17 17:50:42.746
487,1523017440,6052019,D01,31530,33742,67,F,2020-01-16,2020-01-17 17:50:42.746
488,2617324582,18012019,D01,23467,26503,67,F,2020-01-16,2020-01-17 17:50:42.746
489,80640110,1052023,A01,1483,4558,67,F,2020-01-16,2020-01-17 17:50:42.746
490,22271697,7112016,A01,269,365,67,F,2020-01-16,2020-01-17 17:50:42.746
491,3273417,6062019,A99,449,469,67,F,2020-01-16,2020-01-17 17:50:42.746
492,2045313,3122018,B99,94,116,67,F,2020-01-16,2020-01-17 17:50:42.746
493,2609102,28082018,A01,45,69,67,F,2020-01-16,2020-01-17 17:50:42.746
494,8843232,4092019,A01,192,214,67,F,2020-01-16,2020-01-17 17:50:42.746
495,3413007,24092018,B05,57,57,67,F,2020-01-16,2020-01-17 17:50:42.746
496,21618289,5042017,A01,124,152,67,F,2020-01-16,2020-01-17 17:50:42.746
497,444321,31072026,A01,39,41,67,F,2020-01-16,2020-01-17 17:50:42.746
498,2067075,4052018,B99,93,160,67,F,2020-01-16,2020-01-17 17:50:42.746
499,2606787,4082021,A04,102,104,67,F,2020-01-16,2020-01-17 17:50:42.746
500,186211,24112023,A04,20,20,67,F,2020-01-16,2020-01-17 17:50:42.746
501,6668162,3032022,B05,107,107,67,F,2020-01-16,2020-01-17 17:50:42.746
502,5356454,28062017,A01,37,50,67,F,2020-01-16,2020-01-17 17:50:42.746
503,3592092,5062019,A99,541,573,67,F,2020-01-16,2020-01-17 17:50:42.746
504,1866246,28122019,A99,53,54,67,F,2020-01-16,2020-01-17 17:50:42.746
505,2159763,10012015,A04,6,8,67,F,2020-01-16,2020-01-17 17:50:42.746
506,258656,6062021,A01,8,8,67,F,2020-01-16,2020-01-17 17:50:42.746
507,25263080,20112018,B05,283,284,67,F,2020-01-16,2020-01-17 17:50:42.746
508,1426534,22102018,B99,57,62,67,F,2020-01-16,2020-01-17 17:50:42.746
509,3204094,28022020,B99,149,152,67,F,2020-01-16,2020-01-17 17:50:42.746
510,3444141,28102018,A04,49,56,67,F,2020-01-16,2020-01-17 17:50:42.746
511,572920,13072016,B99,25,27,67,F,2020-01-16,2020-01-17 17:50:42.746
512,2841929,25022019,A05,113,114,67,F,2020-01-16,2020-01-17 17:50:42.746
513,22020974,14052021,B05,303,304,67,F,2020-01-16,2020-01-17 17:50:42.746
514,2240897,16112017,B99,62,102,67,F,2020-01-16,2020-01-17 17:50:42.746
515,32728114,5042017,A04,164,189,67,F,2020-01-16,2020-01-17 17:50:42.746
516,858467,28102023,B05,15,15,67,F,2020-01-16,2020-01-17 17:50:42.746
517,6338344,17082020,A04,104,108,67,F,2020-01-16,2020-01-17 17:50:42.746
518,72367,3102025,A04,11,11,67,F,2020-01-16,2020-01-17 17:50:42.746
519,162078,4082025,A01,4,4,67,F,2020-01-16,2020-01-17 17:50:42.746
520,191692,13072015,B99,14,16,67,F,2020-01-16,2020-01-17 17:50:42.746
521,190597,6022020,D01,8,8,67,F,2020-01-16,2020-01-17 17:50:42.746
522,432142,5102020,B99,22,22,67,F,2020-01-16,2020-01-17 17:50:42.746
523,1017653,8012020,A99,29,30,67,F,2020-01-16,2020-01-17 17:50:42.746
524,297775,28012015,B99,8,9,67,F,2020-01-16,2020-01-17 17:50:42.746
525,307239,9122017,B99,15,15,67,F,2020-01-16,2020-01-17 17:50:42.746
526,1189776,20112023,A04,34,38,67,F,2020-01-16,2020-01-17 17:50:42.746
527,17830227,6112019,G01,59,95,67,F,2020-01-16,2020-01-17 17:50:42.746
528,1813557,29122023,A01,63,65,67,F,2020-01-16,2020-01-17 17:50:42.746
529,193044,23022024,A01,3,3,67,F,2020-01-16,2020-01-17 17:50:42.746
530,711288,23042020,B99,40,40,67,F,2020-01-16,2020-01-17 17:50:42.746
531,1449122,2022017,A04,7,8,67,F,2020-01-16,2020-01-17 17:50:42.746
532,275170,11062016,B99,12,12,67,F,2020-01-16,2020-01-17 17:50:42.746
533,248048,18102024,A04,3,3,67,F,2020-01-16,2020-01-17 17:50:42.746
534,185856,17072021,A01,11,20,67,F,2020-01-16,2020-01-17 17:50:42.746
535,502640,16052020,A99,7,8,67,F,2020-01-16,2020-01-17 17:50:42.746
536,784674,4022017,A04,2,3,67,F,2020-01-16,2020-01-17 17:50:42.746
537,33003,16012015,B99,3,4,67,F,2020-01-16,2020-01-17 17:50:42.746
538,8989,5072025,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
539,394947,6012021,A01,10,10,67,F,2020-01-16,2020-01-17 17:50:42.746
540,107974,1102020,B99,8,8,67,F,2020-01-16,2020-01-17 17:50:42.746
541,168772,15042021,A99,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
542,396507,30092016,A04,4,4,67,F,2020-01-16,2020-01-17 17:50:42.746
543,98097,24082018,B03,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
544,85428,23082020,A99,3,3,67,F,2020-01-16,2020-01-17 17:50:42.746
545,168772,15032021,A99,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
546,184107,25072018,B03,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
547,165830,7032030,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
548,38658,30062019,B06,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
549,88343,31032019,B05,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
550,2540943606,7042020,A01,76053,150010,67,F,2020-01-16,2020-01-17 17:50:42.746
551,4665639,25112025,A01,30,63,67,F,2020-01-16,2020-01-17 17:50:42.746
552,734414952,7122018,A04,29295,36702,67,F,2020-01-16,2020-01-17 17:50:42.746
553,843762535,15072019,A04,19544,21861,67,F,2020-01-16,2020-01-17 17:50:42.746
554,121694957,16012019,A04,2848,2977,67,F,2020-01-16,2020-01-17 17:50:42.746
555,343530326,29012019,A04,16856,19659,67,F,2020-01-16,2020-01-17 17:50:42.746
556,8625581,11032019,A99,1505,1609,67,F,2020-01-16,2020-01-17 17:50:42.746
557,50706081,17022020,B05,540,540,67,F,2020-01-16,2020-01-17 17:50:42.746
558,371507833,28082019,B05,3374,3384,67,F,2020-01-16,2020-01-17 17:50:42.746
559,55467974,1112019,B99,2891,2953,67,F,2020-01-16,2020-01-17 17:50:42.746
560,25562613,16052019,C01,248,340,67,F,2020-01-16,2020-01-17 17:50:42.746
561,34956168,10032026,A01,1173,2976,67,F,2020-01-16,2020-01-17 17:50:42.746
562,599337,19082018,A04,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
563,8653595,15092025,A01,274,478,67,F,2020-01-16,2020-01-17 17:50:42.746
564,521773,25122017,B99,16,25,67,F,2020-01-16,2020-01-17 17:50:42.746
565,12304134,28022020,A01,351,635,67,F,2020-01-16,2020-01-17 17:50:42.746
566,11273858,25092021,B05,161,161,67,F,2020-01-16,2020-01-17 17:50:42.746
567,289702341,5112019,B03,1226,1232,67,F,2020-01-16,2020-01-17 17:50:42.746
568,49866482,27012019,D01,1364,1562,67,F,2020-01-16,2020-01-17 17:50:42.746
569,47065926,14022019,C01,347,491,67,F,2020-01-16,2020-01-17 17:50:42.746
570,69679913,16112019,B03,277,277,67,F,2020-01-16,2020-01-17 17:50:42.746
571,1051285,16042020,B99,60,61,67,F,2020-01-16,2020-01-17 17:50:42.746
572,24878855,5022016,A04,94,108,67,F,2020-01-16,2020-01-17 17:50:42.746
573,14821006,5072015,A04,39,46,67,F,2020-01-16,2020-01-17 17:50:42.746
574,467058,29122019,D01,14,14,67,F,2020-01-16,2020-01-17 17:50:42.746
575,3576802,25062018,A01,49,52,67,F,2020-01-16,2020-01-17 17:50:42.746
576,3168207,2032015,A04,11,13,67,F,2020-01-16,2020-01-17 17:50:42.746
577,2765376,28022024,A01,184,302,67,F,2020-01-16,2020-01-17 17:50:42.746
578,1982429,6032023,B05,40,40,67,F,2020-01-16,2020-01-17 17:50:42.746
579,633514,2062016,B99,103,132,67,F,2020-01-16,2020-01-17 17:50:42.746
580,1260258,23062023,B05,25,25,67,F,2020-01-16,2020-01-17 17:50:42.746
581,2239272,31012019,D01,97,97,67,F,2020-01-16,2020-01-17 17:50:42.746
582,14636651,10112017,A04,94,155,67,F,2020-01-16,2020-01-17 17:50:42.746
583,104015,26062018,A04,5,6,67,F,2020-01-16,2020-01-17 17:50:42.746
584,1931330,23102019,A99,158,161,67,F,2020-01-16,2020-01-17 17:50:42.746
585,545705,19062018,B05,13,13,67,F,2020-01-16,2020-01-17 17:50:42.746
586,7457169,7042019,B03,43,43,67,F,2020-01-16,2020-01-17 17:50:42.746
587,40809712,24012019,B03,123,123,67,F,2020-01-16,2020-01-17 17:50:42.746
588,18647329,19062019,G01,82,124,67,F,2020-01-16,2020-01-17 17:50:42.746
589,8847327,28102018,B05,95,95,67,F,2020-01-16,2020-01-17 17:50:42.746
590,4980111,25082025,A01,38,73,67,F,2020-01-16,2020-01-17 17:50:42.746
591,463491,17022020,A99,14,16,67,F,2020-01-16,2020-01-17 17:50:42.746
592,1085125,30082018,A04,31,37,67,F,2020-01-16,2020-01-17 17:50:42.746
593,192235,3122017,A01,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
594,1400039,10012017,B99,105,138,67,F,2020-01-16,2020-01-17 17:50:42.746
595,5897623,17112019,G01,23,24,67,F,2020-01-16,2020-01-17 17:50:42.746
596,1115129,16072023,B05,27,27,67,F,2020-01-16,2020-01-17 17:50:42.746
597,3905207,28122022,B05,60,61,67,F,2020-01-16,2020-01-17 17:50:42.746
598,124297,13122020,B99,6,6,67,F,2020-01-16,2020-01-17 17:50:42.746
599,55188,14042015,B99,16,16,67,F,2020-01-16,2020-01-17 17:50:42.746
600,1044820,31082021,A04,46,47,67,F,2020-01-16,2020-01-17 17:50:42.746
601,2152847,8032017,A04,27,31,67,F,2020-01-16,2020-01-17 17:50:42.746
602,1274517,20082022,A04,43,59,67,F,2020-01-16,2020-01-17 17:50:42.746
603,970935,22122023,A01,15,34,67,F,2020-01-16,2020-01-17 17:50:42.746
604,421215,25092021,A04,24,24,67,F,2020-01-16,2020-01-17 17:50:42.746
605,388066,3052020,A99,9,10,67,F,2020-01-16,2020-01-17 17:50:42.746
606,18054584,23062019,G01,26,27,67,F,2020-01-16,2020-01-17 17:50:42.746
607,570074,6102018,A04,18,18,67,F,2020-01-16,2020-01-17 17:50:42.746
608,181758,20122020,B99,7,9,67,F,2020-01-16,2020-01-17 17:50:42.746
609,710991,22122025,A01,10,27,67,F,2020-01-16,2020-01-17 17:50:42.746
610,77509,8032021,B99,4,4,67,F,2020-01-16,2020-01-17 17:50:42.746
611,12028,23102018,A99,3,3,67,F,2020-01-16,2020-01-17 17:50:42.746
612,11103,13112020,A01,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
613,405668,19052020,A99,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
614,16454780,4012020,G01,17,18,67,F,2020-01-16,2020-01-17 17:50:42.746
615,871382,12032015,A01,5,7,67,F,2020-01-16,2020-01-17 17:50:42.746
616,66805,15082017,B03,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
617,131906,22052016,B99,6,6,67,F,2020-01-16,2020-01-17 17:50:42.746
