ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL
153,2227510850,105944,NMN,NMN
629,667321230,3944,NMN,NMN
645,931375617,5100,NMN,NMN
111,17765603364,55743,NMN,NMN
131,17765603364,468078,NMN,NMN
150,2227510850,113322,NMN,NMN
651,1151773375,2482,NMN,NMN
831,341459569,15334,NMN,NMN
101,667321230,2567,NMN,NMN
128,17765603364,376397,NMN,NMN
634,667321230,12699,NMN,NMN
640,667321230,23715,NMN,NMN
882,341459569,13957,NMN,NMN
121,17765603364,215781,NMN,NMN
159,17765603364,2924,NMN,NMN
632,667321230,9945,NMN,NMN
108,17765603364,28203,NMN,NMN
112,17765603364,85850,NMN,NMN
123,17765603364,236436,NMN,NMN
163,26125856632,3585283,NMN,NMN
639,667321230,20468,NMN,NMN
642,667321230,27846,NMN,NMN
64,26125856632,2414,MMNPP SMNTMNJJR,MMNPP SMNTMNJJR S/M
120,17765603364,170918,NMN,NMN
127,17765603364,330378,NMN,NMN
106,17765603364,14433,NMN,NMN
117,17765603364,159630,NMN,NMN
122,17765603364,227817,NMN,NMN
151,2227510850,174488,NMN,NMN
636,667321230,15453,NMN,NMN
637,667321230,17714,NMN,NMN
652,1151773375,3859,NMN,NMN
130,17765603364,439161,NMN,NMN
638,667321230,19091,NMN,NMN
641,667321230,26469,NMN,NMN
649,1044088796,6766,NMN,NMN
660,6101057903,5372,NMN,NMN
661,6101057903,6885,NMN,NMN
109,17765603364,29410,NMN,NMN
110,17765603364,45917,NMN,NMN
154,2227510850,135660,NMN,NMN
114,17765603364,132090,NMN,NMN
630,667321230,5321,NMN,NMN
633,667321230,11322,NMN,NMN
643,931375617,2210,NMN,NMN
647,1044088796,2142,NMN,NMN
881,341459569,12580,NMN,NMN
657,1617756397,6494,NMN,NMN
658,6101057903,2618,NMN,NMN
113,17765603364,112506,NMN,NMN
656,1617756397,3400,NMN,NMN
104,17765603364,8568,NMN,NMN
116,17765603364,151368,NMN,NMN
129,17765603364,435030,NMN,NMN
180,26125856632,4756957,NMN,NMN
115,17765603364,134844,NMN,NMN
119,17765603364,169762,NMN,NMN
126,17765603364,313854,NMN,NMN
133,17765603364,211157,NMN,NMN
152,2227510850,21641,NMN,NMN
635,667321230,14076,NMN,NMN
646,931375617,8194,NMN,NMN
648,1044088796,3519,NMN,NMN
748,341459569,2635,MMNPP PPPPJRMTVVP SVPRJJV S.M.,MMNPP PPPPJRMTVVP SVPRJJV S.M.
105,17765603364,13056,NMN,NMN
118,17765603364,165138,NMN,NMN
124,17765603364,238697,NMN,NMN
125,17765603364,250206,NMN,NMN
