ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO
1,,45,,341,358,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
2,,63,,103,108,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
3,,22,,15,16,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
4,,48,,9,9,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
5,,290,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
6,,109,,1,1,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
7,24231168.0,20,14774641.0,6,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
8,,59,,235,253,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
9,,38,,14,14,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
10,,117,,4,4,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
11,,332,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
12,,53,,7,7,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
13,,13,,141,143,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
14,,250,,12,12,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
15,83720000.0,158,61146076.0,4,4,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
16,,319,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
17,,162,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
18,,17,,1,1,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
19,453409414.0,82,345569291.0,86,93,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
20,831887355.0,70,387293236.0,150,171,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
21,,90,,12,15,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
22,,220,,8,8,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
23,168720000.0,117,47151818.0,10,10,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
24,,8,,362,373,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
25,,120,,117,119,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
